file,источник,position,head_lexical_class,gen_lexical_class,gen_length,gen_referentiality,gender,head,gen,line,Right context,comment
2019-Zvenigorod-ya1968,звенигород,right,non_kinship,non_human,one-word,definite,известно,конец,моих дней,Не должно это быть до конца моих,.,
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,definite,известно,набор,пластинок,набор этих,". Они почему - то все цветные,",
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,definite,известно,крышка,рояля,На крышке,.,
2019-Zvenigorod-li1950,звенигород,right,non_kinship,non_human,one-word,definite,известно,качество,фотографии,Вот так пло =... плохое качество,"(?)... Ну, какие раньше фотоаппараты, и такие фотографы были...",
2019-Zvenigorod-om1973,звенигород,right,non_kinship,non_human,one-word,definite,известно,здание,храма,И размещалась в здании,.,
"[О дне рождения // Из материалов Ульяновского университета, 2007]",домашний разговор-old,right,kinship,proper_human,one-word,definite,,,Антохи,Отец Антохи довез нам все палатки / кастрюли / шашлыки / одеяла.,,
"[Воспоминания о прошлом М. Миртова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,kinship,proper_human,one-word,definite,m,брат,Лазаря,"А… а потом он / приходит как-то / и говорит / ""Наташ / ты знаешь что?   Михал Моисеич / Каганович"" /  это брат Лазаря.      Угу.",,просторечие
"[Разговор дома // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,kinship,proper_human,one-word,definite,,,Игоря,"У нас Саша, сын Игоря, в двадцатой учится.",,
"[Разговоры студенток о популярной рок-группе // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,kinship,proper_human,one-word,definite,f,,Игоса,Потому что его придумал Бурзик / а Бурзик / внебрачная дочь Игоса.,,
"[Разговор при просмотре фотографий // Из коллекции НКРЯ, 2005]",домашний разговор-new,right,non_kinship,proper_human,one-word,definite,,голова,Льва,Ха-ха.      Где голова Льва?      Она в Туле.,,
"[Домашний разговор родственников // Из коллекции НКРЯ, 2008]",домашний разговор-new,right,non_kinship,proper_human,one-word,definite,,класс,Наташки,Потому что Гальке/ нет/ если по суду Гальке дали срок до десятого класса Наташки/ потом она должна освободить квартиру.,,
"[Домашние разговоры // Из коллекции НКРЯ, 2006]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,,,Богуновых,Семья Богуновых / и-и-и-и / ха-ха-ха…,,
"[Воспоминания о прошлом А. Серова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,proper_human,one-word,definite,m,дом,Волконских,А-а.      Это дом Волконских.      Угу.,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,proper_human,one-word,definite,m,заместитель,Туполева,Нет / он о… он первый заместитель Туполева был.,,
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,proper_human,one-word,definite,m,семья,Киселёвых,И / э-э значит часть семьи Киселёвых / которая застряла здесь / а м-м многие / вообще уехали / ещё раньше др… часть / другая вообще давно попала она /,,
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,proper_human,one-word,definite,m,семья,Киселёвых,И жили они потом напротив моего дома  Ну вот э-э Марь Васильна свекровь / прошла там школу / стала замечательной совершенно корсетницей / у неё была очень большая клиентура / вот / и на лифчиках на этих / вот она потом кормила / всю эту огромную / дворянскую семью / Киселёвых / совершенно растерявшихся / в гражданскую войну / которые умели только на фортепьянах / и это с… и ни-чего не могли.,,
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,proper_human,one-word,definite,m,статьи,Царёва,Потому что уже были статьи Царёва в газетах / и-и… ну всё уже пошло.,,
"[Воспоминания о прошлом М. Миртова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,non_kinship,proper_human,one-word,definite,m,больница,Морозова,Лавка / да / лавка там была / потом / по-моему больница Морозова что ль была / имени Морозова.,,просторечие
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,proper_human,one-word,definite,f,ученик,Жуковского,Ведь Туполев учился / да / у Жуковского?   Ученик Жуковского?      Ученик Жуковского / он тоже.,,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,proper_human,one-word,definite,f,тема,Пикуля,У того / у Никанорыча / у него тема / тема Пикуля.,,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,proper_human,one-word,definite,f,ученик,Жуковского,Ученик Жуковского?      Ученик Жуковского / он тоже.      Угу.,,
"[Воспоминания о прошлом Н. Кочаровой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,proper_human,one-word,definite,f,линия,Орловых,Вот я к чему говорю что / мне кажется / это линия Орловых / с… которые вот священнослушатели / мне кажется это побочные дети Орловых.,,
"[Воспоминания о прошлом Н. Кочаровой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,proper_human,one-word,definite,f,культ,Блока,Ну как-то / м-м… мне / в общем претило вот какая-то такая / вот такое / как сейчас сказали б / культ Блока / вот такое… м-м… именно то что… м-м…,,
"[Воспоминания о прошлом Н. Тараторина // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,proper_human,one-word,definite,m,лицо,Блока,"Вот говорит представляете / зал"" / я уж забыл в каком это зале происходило / по-моему в Петрограде /  Корней Иванович говорит ""я / просто говорит начинаю / говорить что хватит нам вообще / заниматься только одними воздыханиями / ну я просто / тут плюнул в душу так сказать / тысячам… э-э или там… сотням / э-э поклонников / з-з… тут уже рёв против меня / я что-то такое м… лепечу / проваливаюсь совершенно /только  вижу / неподвижное лицо / Блока / который очень внимательно меня слушает.",,
"[Воспоминания о прошлом Н. Ушковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,proper_human,one-word,definite,f,портрет,Чехова,"И папина сноска /  ""это… м-м… портрет… нет… для портрета Чехова"".",,
"[Воспоминания о прошлом О. Савицкой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1997]",воспоминания,right,non_kinship,proper_human,one-word,definite,f,"""Последние дни""",Булгакова,"И вот нако… когда став… начали ставить / ""Последние дни"" / Булгакова /",,
"[Воспоминания о прошлом Т. Винокур и Н. Ушаковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,proper_human,one-word,definite,f,роль,Чапаева,"Ну неважно это всё / но там были хорошие актёры / и вообще был спектакль такой забавный / она говорит ""вот этого не было / э и в романе не было / там такой эпизод / когда / шли в атаку / в костюмах / э самодеятельности / который прервали вот / белогвардейцы / там ещё / потом она говорит"" ну Ванин конечно ""/ Ванин играл роль Чапаева / и Ванин и Крамов.""",,
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,proper_human,one-word,definite,f,музей,Пушки-на,Вот представьте себе / если мы идём в музей / Пушки-на / не Пу… не… не…,,
"[Телефонные разговоры московских студентов // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,,,Валерии,Я поставил фотографию Валерии на аватар / она… посмотри какое у неё лицо.,,
"[Разговор в семье студентов об учебе // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,m,,Генки,О да!   Славу Генки мне не перепить конечно.      Ну до Генки тебе далеко.,,
"[Разговор подруг // Из материалов Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,f,,Гудвина,А он же тоже там / в этой всей компании / просто / знаешь / есть…       В компании Гудвина или…       Hornst?,,
"[Обсуждение свадьбы // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,,,Женьки,Как тебе свадьба Женьки?      Знаешь / мне свадьба не очень понравилась.,,
"[Разговоры студенток о популярной рок-группе // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,f,,Игоса,Просто алкоголь испаряется при одном только взгляде Игоса.,,
"[Разговоры студенток о популярной рок-группе // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,f,,Игоса,Теперь будем знать кого винить.       А Путин / двойник Игоса.      Морозов тоже.,,
"[О дне рождения // Из материалов Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,,,Мича,Что там у вас на днюху Мича-то было?,,
"[Разговор двух женщин, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,f,,Мольера,"А она говорит потому что… если она пока не приедет / то я говорит потом тебе дам почитать потому что мама уже переключилась на"" Жизнь Мольера ""/ это всё интересней.",,
"[Разговор двух женщин, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,f,,Пуленка,"Я начала про что / а что-то про кого это я говорила / кончила я вроде Маршалл да / ах да.   Вот"" Человеческий голос ""Пуленка она пела.   И было такое знаешь полуконцертное исполнение.",,
"[Разговор в гостях // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,,,Румии,Слушай / а у тебя свадьбы Румии нет на диске?,,
"[Домашние разговоры // Из коллекции НКРЯ, 2006]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,,,Сигурда,Ну / это / конечно / это просто / это / знаешь / ээ / это у меня в первый раз сомнения по поводу ореола Сигурда возникли / когда…,,
"[Разговоры ульяновских студентов // Из коллекции Ульяновского университета, 2008]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,,,Сталина,что за доклад?      По истории / тут про эпоху Сталина.      Ооо… Будешь рассказывать завтра?,,
"[Разговоры студенток о популярной рок-группе // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,f,,Терминатора,Это он снимался в фильме «Терминатор-2» в роли шестиствольного пулемёта.       А? Я думала в роли Терминатора.      Он там во всех ролях.,,
"[Праздные разговоры  // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,,,Цоя,А возле стены Цоя там / короче / спуск.,,
"[Разговор в общежитии // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,proper_human,one-word,definite,,,Шамина,болезнь / попозже / болезнь обязательно на факультете / считай скоко еще останется      Это что занятия Шамина боятся?      Ну не боятся но он как бы  / сам себе,,
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,proper_human,one-word,definite,известно,любительство,Кириллки,"Методом, опять таки, лю = лю = любительство",,
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,proper_human,one-word,definite,известно,,Зайцева,"Одногруппница, одноклассница",.,
2019-Zvenigorod-om1973,звенигород,right,non_kinship,proper_human,one-word,definite,известно,музей,Пушкина,в музей,художественном.,
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,proper_human,one-word,definite,известно,,родителей,здесь больше работы,", даже не моя, как Кирилла, потому как",
"[Воспоминания о прошлом А. Серова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,human_other,multi-word,non_definite,m,дети,вагоновожатых кондукторов,М-м дети / э-э вагоновожатых / кондукторов / потому что там депо / было /,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,human_other,multi-word,non_definite,m,дочь,крестьянки,А ма-а-ть у него / дочь крепостной / крестьянки.,,
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,human_other,multi-word,non_definite,f,отец,подруги,Но поскольку был не только школьный совет / но и родительский / а там / инженер Тромбовецкий / председатель / отец моей подруги / за меня заступился / то / я экзамены прекрасно сдавала.,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,human_other,multi-word,non_definite,m,интернат,большевиков,/ которая потом жила здесь / в Интернате старых большевиков / и звонила мне иногда / и говорила.,,
"[Разговоры ульяновских студентов // Из коллекции Ульяновского университета, 2008]",домашний разговор-old,right,non_kinship,human_other,multi-word,non_definite,,знакомый,знакомого,ну он скорее не мой знакомый / а знакомый моего знакомого / понимаешь?,,
"[О подготовке к свадьбе // Из материалов Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,human_other,multi-word,non_definite,,диплом,мастера-модельера,Да / хорошие / которая косметолог в Москве училась / а у парикмахерши диплом тоже мастера-модельера.,,
"[Разговор о будущем, Москва // Воротникова, 2005]",домашний разговор-old,right,non_kinship,human_other,multi-word,non_definite,,диплом,переводчика,Мне с дипломом лингвиста- переводчика в родном Челябинске делать особо нечего.,,
"[Разговор студентки с приятельницей // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,human_other,multi-word,non_definite,f,зарплата,ремонтников,Ну так э… ну не… это будет / конечно / наверно / не… хозяева квартиры / а это вычтется из зарплаты бедных ремонтников / которые это все делали.,,
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,human_other,multi-word,non_definite,известно,должность,начальника санатория,а должность,"санатория сюда, в Звенигород, и мы с семьей переезжаем.",
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,human_other,multi-word,non_definite,известно,разум,сорокалетней тётки,"То есть всё чётко, взвешенно, очень разумно, прям такой разум, знаешь, сорокалетней",", даже сказала бы.",
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,human_other,multi-word,non_definite,известно,уровень, шофёров и медсестёр,То есть… Уровень,.,
"[Воспоминания о прошлом А. Серова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,kinship,multi-word,non_definite,m,дети,родителей,Я привыкла… в этой школе  / учились / дети не интеллигентных э-э родителей.,,
"[Воспоминания о прошлом А. Серова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,non_human,multi-word,non_definite,m,дети,возрастов,Вот б… были ведь во дворе / были дети всех возрастов / и все вместе играли.,,
"[О зимней олимпиаде // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,kinship,non_human,multi-word,non_definite,,бабушка,спорта,Ну / это / по-моему самая первая!      Это бабушка лыжного спорта.   Дольше всех бегала.,,
"[Разговор о древних цивилизациях // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,non_definite,,понятия,добра и зла,у них нету понятия добра и зла // ну что поделаешь / с ребятами // нормально!,,
"[Разговор в гостях и поздравления с Новым годом // Из коллекции Ульяновского университета, 2008]",домашний разговор-old,right,non_kinship,non_human,multi-word,non_definite,,набор,ложек и вилочек,Набор здесь ложек и вилочек и чё посмотрите.,,
"[Разговор двух женщин, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,right,non_kinship,non_human,multi-word,non_definite,f,вершина,мастерства и всего и обаяния,Там/ понимаешь ли уже тесное общение / уже когда просто это / ну вот Маршалл она всегда вызывала такие / понимаешь / ответную эмоцию у всего зрительного зала / но это опять-таки / это так сказать… ну… вершина что ли такой музыкальной тонкости / вообще / и мастерства и всего и обаяния.,,
"[Разговор в семье студентов об учебе // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,multi-word,non_definite,,учитель,языка и литературы,Подошла к вашей Нечаевой / учителю русского языка и литературы: «Что такое нимфоманка?»,,
"[Телефонный разговор // Из материалов Санкт-Петербургского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,non_definite,,состояние,аффекта,На самом деле / мне кажется / он был в состоянии глубокого аффекта.,,
"[Телефонные разговоры московских студентов // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,multi-word,non_definite,,помесь,бульдожки,В нём же хохляцкая и немецкая / и еврейская кровь / то есть там ваще помесь бульдожки с носорожкой / жёстко.,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,m,конкурс,домов,Дом этот / получил / первую премию / на конкурсе жилых домов / который был / перед революцией.,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,m,командир,взвода,Ну ладно / будешь командиром сапёрного… командиром сапёрного взвода.,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,m,институт,языков,Он тут значит когда кончил войну / стал поступать / в этот… э… в Институт восточных языков.,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,m,институт,ирригации и мелиорации,Папа кончил там / этот самый / институт / ирригации / и мелио… мелиорации там / он инженер был.,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,m,институт,языков,"Я говорю ""а что тя хрен понёс в Институт восточных языков?""",,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,m,институт,языков,"Я чувствую / что мне в армии / ничего не светит / я говорит решил поступить.   В Институт восточных языков"".        Я говорю ""а что тя хрен понёс в Институт восточных языков?""",,
"[Воспоминания о прошлом Е. Ложкиной // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1956]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,этаж,домика,И-и значит мы вот в первом этаже / одного такого домика.,,просторечие
"[Воспоминания о прошлом Е. Соколовой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1981]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,центр,человечества,Значит как вам известно / Советский Союз был / центром прогрессивного человечества / да?,,просторечие
"[Воспоминания о прошлом Е. Соколовой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1981]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,центр,человечества,Поэтому я горжусь тем / что я родился / в самом / центре / прогрессивного человечества.,,просторечие
"[Воспоминания о прошлом М. Миртова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,m,букеты,цветов,Всё каждый раз приносит такие огромные букеты цветов / роскошных совершенно.,,просторечие
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,тема,повести,Ведь всегда… м-м… темой какого-нибудь рассказа / например даже и повести тоже / что-то… м-м… случится / расскажут / и-и как-то это и…,,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,учители,школы,Но тут подоспело / воззвание партии и правительства / к молодёжи / заменить / пустовавших / э-э… учителей начальной школы,,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,театр,пьес,Ну сколько он там поставил Художественный театр классических пьес?,,
"[Воспоминания о прошлом Н. Тараторина // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,m,манера,рассказывания,И… м… меня / поразила / манера их рассказывания.,,
"[Воспоминания о прошлом Н. Ушковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,председатель,комитета,И-и с моей подругой / м-м… и… о которой я уже вскользь упоминала / что её отец был председателем / родительского комитета / мы ходили по всей Москве.,,
"[Воспоминания о прошлом Н. Ушковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,председатель,комитета,Ну да / семнадцать лет вам было.      Семнадцать лет.   И / меня / сразу / выбрали председателем школьного комитета.,,
"[Воспоминания о прошлом Н. Ушковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,предмет,мечты,Ну у нас был предмет мечты.   И вожделений.   Всегда.,,
"[Воспоминания о прошлом О. Савицкой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1997]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,актер,таланта,Угу.      Это был актёр редкого таланта.   Просто так вот скажем.,,
"[Воспоминания о прошлом Р. Мочаловой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,дата,рождения и смерти,В восемьсьт втором году родился Д. Н. Ушаков / да?      Это даты / и / рождения / и смерти.        Вот / это интересно очень.,,
"[Воспоминания о прошлом Т. Винокур // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,профессор,класса,Владимира Александровича / серёжиного отца / была такая / что это был… он был / художник / передвижник / э-э он был / м-м действительный член Академии художеств в Петербурге / э-э профессор пейзажного класса.,,
"[Воспоминания о прошлом Т. Винокур // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,преподавательницы,языка,Так было со мной в Англии.   Э-э… однажды… даже уже не в Англии / в Дублине / э… я был в гостях у ирландки / преподавательницы русского языка / и там была учительница / эмигрантка / престарелая.,,
"[Воспоминания о прошлом Т. Винокур и Н. Ушаковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,процесс,развития,Вот это такое непонимание / процесса культурного развития!,,
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,non_definite,f,оркестр,инструментов,Тогда ещё сам Николай… сейчас-то имени Николай Петровича Осипова оркестр / а это был сам он жив ещё. Тогда просто был оркестр / народных инструментов. И-и помню такое.,,
"[Праздные разговоры // Из коллекции НКРЯ, 2006]",домашний разговор-old,right,non_kinship,non_human,multi-word,non_definite,,декор,венка,Наташ / ну согласись / это не цветы / а декор надгробного венка!,,
"[Разговор дома за ужином // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,non_definite,,кризис,возраста,может это (…   ) называется кризис среднего возраста?      ну я думаю что там всё вместе //,,
"[О детях // Из коллекции НКРЯ, 2006]",домашний разговор-old,right,non_kinship,non_human,multi-word,non_definite,,моменты,возрастов,Дёрганье за косички / обзывания и прочее / это моменты переходных возрастов.,,
